Emp_ID,PWM_Value,Mean,stddev,Blur
MN00,17,231,39,1556
MN00,17,232,39,1582
MN00,17,231,39,1587
MN00,17,231,39,1584
MN00,13,209,55,3087
MN00,13,209,55,3081
MN00,13,209,55,3080
MN00,10,183,66,4476
MN00,10,183,66,4481
MN00,10,184,66,4473
Emp_ID,PWM_Value,Mean,stddev,Blur
MN00,17,238,32,1040
MN00,17,238,32,1053
MN00,17,238,32,1058
MN00,13,222,50,2555
MN00,13,222,50,2556
MN00,13,222,50,2548
MN00,10,203,64,4123
MN00,10,203,64,4127
MN00,10,203,64,4121
MN00,10,203,64,4112
MN00,10,203,64,4116
MN00,10,203,64,4124
MN00,10,203,64,4116
MN00,10,203,64,4117
MN00,17,237,33,1155
MN00,17,237,34,1165
MN00,17,237,34,1162
MN00,13,222,51,2610
MN00,13,222,51,2609
MN00,13,222,51,2613
MN00,10,204,64,4137
MN00,10,204,64,4142
MN00,10,204,64,4140
MN00,10,203,64,4161
MN00,10,203,64,4177
MN00,10,203,64,4185
MN00,10,203,64,4201
MN00,10,203,64,4204
MN00,17,228,45,2051
MN00,17,228,45,2047
MN00,17,228,45,2033
MN00,13,211,59,3542
MN00,13,211,59,3526
MN00,13,211,59,3527
MN00,10,187,68,4651
MN00,10,187,68,4645
MN00,10,187,68,4651
MN00,10,187,68,4650
MN00,10,187,68,4644
MN00,10,187,68,4648
MN00,10,187,68,4645
MN00,10,187,68,4650
MN00,17,234,37,1372
MN00,17,234,36,1368
MN00,17,234,36,1354
MN00,13,218,53,2875
MN00,13,218,53,2863
MN00,13,218,53,2869
MN00,10,200,66,4482
MN00,10,200,66,4470
MN00,10,200,66,4463
MN00,10,200,66,4457
MN00,10,195,65,4248
MN00,10,195,65,4237
MN00,10,195,65,4239
MN00,10,195,65,4245
MN00,10,195,65,4247
MN00,10,195,65,4255
MN00,17,234,35,1280
MN00,17,234,35,1276
MN00,17,234,35,1274
MN00,13,217,52,2759
MN00,13,216,52,2762
MN00,13,216,52,2763
MN00,10,195,65,4299
MN00,10,195,65,4297
MN00,10,195,65,4308
MN00,10,195,65,4301
MN00,10,195,65,4303
MN00,10,195,65,4288
MN00,10,195,65,4284
MN00,10,195,65,4291
MN00,17,236,33,1112
MN00,17,236,33,1098
MN00,17,236,33,1091
MN00,13,218,50,2575
MN00,13,218,50,2581
MN00,13,218,50,2598
MN00,10,196,64,4139
MN00,10,196,64,4136
MN00,10,196,64,4132
MN00,17,242,27,736
MN00,17,242,27,780
MN00,17,241,28,830
MN00,17,241,28,836
MN00,17,241,29,847
MN00,13,227,46,2122
MN00,13,227,46,2117
MN00,13,227,46,2117
MN00,10,209,59,3535
MN00,10,209,59,3537
MN00,10,209,59,3535
MN00,10,209,59,3537
MN00,10,209,59,3539
MN00,10,209,59,3540
MN00,10,209,59,3531
MN00,10,209,59,3530
MN00,17,241,29,868
MN00,17,241,29,866
MN00,17,241,29,864
MN00,13,227,46,2117
MN00,13,227,45,2115
MN00,13,227,46,2120
MN00,10,208,59,3555
MN00,10,209,59,3545
MN00,10,208,59,3557
MN00,10,208,59,3554
MN00,10,209,59,3551
MN00,10,208,59,3557
MN00,10,208,59,3551
MN00,10,208,59,3562
MN00,17,241,30,903
MN00,17,241,29,881
MN00,17,241,29,852
MN00,13,226,46,2117
MN00,13,226,45,2113
MN00,13,226,45,2104
MN00,10,203,58,3389
MN00,10,203,58,3392
MN00,10,202,58,3402
MN00,10,202,58,3401
MN00,10,202,58,3408
MN00,10,202,58,3415
MN00,10,202,58,3418
MN00,10,202,58,3416
MN00,10,202,58,3422
MN00,10,202,58,3412
